CMPD_CHEMBLID,exp,smiles
CHEMBL1778649,95.82,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@@H](C)C(=O)O)C(F)(F)F
CHEMBL1950852,74.25,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2OC)C1)C(C)(C)C
CHEMBL139,99.68,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
CHEMBL2021696,95.53,CN1C(=O)N(N=C1C2=CC(=O)C(=CN2)O)S(=O)(=O)NC(=O)N3C[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c4csc(N)n4)C3=O
CHEMBL2103856,99.79,CCOc1cc2CN(CC(=O)c3cc(N4CCOCC4)c(OC)c(c3)C(C)(C)C)C(=N)c2c(F)c1OCC
CHEMBL2331743,96.42,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)N)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O
CHEMBL481717,91.1,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCC(O)CC4
CHEMBL140684,97.71,CN(c1ccccc1)S(=O)(=O)c2ccc(NC(=O)C(C)(O)C(F)(F)F)cc2
CHEMBL2338406,89.05,CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1
CHEMBL1096896,99.1,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCC(c4ccccc4)c5ccccc5)nc(nc23)C(=O)NCCNC(=O)NC6CCN(CC6)c7ccccn7
CHEMBL2179276,98.89,CC(C)C[C@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3
CHEMBL570899,91.46,C[C@H](Nc1cncc(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3
CHEMBL1957363,99.74,Oc1ccccc1c2ccc(cc2)c3nc4ccncc4c(O)c3C#N
CHEMBL1818187,99.92,CC(C)(C)OC(=O)NC[C@@H]1CC[C@@H](CNC(=O)c2cc(nc3ccccc23)c4ccccc4)CC1
CHEMBL578288,89.7,NC(=NC#N)c1sc(Nc2ccccc2)nc1N
CHEMBL154709,93.8,COc1ccc2C[C@H]3N(C)CCc4cccc(c34)c2c1O
CHEMBL110999,90.12,CN(CCCOCCOCCc1ccccc1)CCc2ccc(O)c3nc(O)sc23
CHEMBL2059196,88.35,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F
CHEMBL2030402,92.8,Clc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4
CHEMBL213854,99.1,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(F)cccc34
CHEMBL1951074,69.12,COc1cc(OC)c(cc1NC(=S)NCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23
CHEMBL168899,82.05,OB1N(C(=O)Nc2ccccc12)c3ccccc3
CHEMBL506,59.66,COc1cc(NC(C)CCCN)c2ncccc2c1
CHEMBL1526610,43.7,O=C(Cc1cccs1)Nc2ccon2
CHEMBL393717,97.32,Clc1ccc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)N5CCNCC5
CHEMBL1972466,94.68,CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C
CHEMBL2208427,99.68,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL832,99.31,[O-][S+](CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3)c4ccccc4
CHEMBL2011918,96.17,CNc1c(Br)cnc2[nH]c(nc12)c3ccc(OCCN4CCN(C)CC4)cc3
