smiles,solubility,logp
NC(=O)c1cnccn1,-0.667000,-1.230000
CC,-1.360000,1.350000
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.820000,2.370000
Oc1ccncc1,1.020000,0.450000
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.660000,3.320000
Clc1cc(Cl)c(Cl)cc1Cl,-5.560000,4.390000
C=CC=C,-1.870000,1.630000
Nc1ccc(cc1)c2ccc(N)cc2,-2.700000,1.960000
c1(OC)ccc(CC=C)cc1,-2.920000,2.910000
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.800000,3.920000
CNc1ccccc1,-1.280000,1.450000
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.070000,5.190000
Clc1ccccc1N(=O)=O,-2.550000,2.520000
O=c1[nH]cnc2[nH]ncc12,-2.266000,-0.880000
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.220000,0.240000
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.820000,2.770000
CCc1ccc2ccccc2c1,-4.290000,3.920000
Cc1ccncc1C,0.360000,1.780000
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O,-3.850000,1.060000
Cc1cccc2c(C)cccc12,-4.679000,3.990000
CCCCCCCl,-3.120000,3.050000
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.290000,3.950000
CCCCCCC(C)O,-2.090000,2.560000
CCCCCCl,-2.730000,2.600000
O=C1NC(=O)C(=O)N1,-0.400000,-1.200000
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.280000,2.650000
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.430000,5.370000
CNN,1.340000,-0.810000
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.270000,4.590000
CCOC(=O)N,0.850000,-0.050000
Cc1c[nH]c2ccccc12,-2.420000,2.590000
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168000,1.140000
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.150000,0.040000
CC(=C)C1CC=C(C)C(=O)C1,-2.060000,2.550000
CC(C)CCOC(=O)C,-1.920000,1.530000
CCCCCCCC,-5.240000,4.020000
Cc1cc(=O)n(c2ccccc2)n1C,0.715000,1.220000
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.300000,3.900000
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.600000,4.940000
Nc2cnn(c1ccccc1)c(=O)c2Cl,-2.878000,1.110000
CCCCCCCC(=O)C,-2.580000,3.030000
CC=C,-1.080000,1.490000
Nc1nc[nH]n1,0.522000,-0.560000
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637000,7.870000
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.680000,4.600000
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.230000,5.270000
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.200000,6.110000
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754000,3.080000
CCCCCCCCC(=O)C,-3.300000,3.470000
O=c1cc[nH]c(=O)[nH]1,-1.488000,-0.860000
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.590000,0.500000
Nc1ccc(cc1)S(N)(=O)=O,-1.340000,-0.250000
CC(C)CO,0.100000,0.730000
CCc1ccccn1,0.510000,1.590000
Fc1ccccc1,-1.800000,2.120000
CCOC(=O)c1ccccc1,-2.320000,2.330000
BrC(Br)(Br)Br,-3.140000,3.600000
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.160000,2.220000
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4,-5.400000,4.710000
Cc1ccc(O)cc1C,-1.380000,2.700000
Fc1ccccc1Br,-2.700000,2.880000
CC(C)O,0.430000,0.250000
c3ccc2nc1ccccc1cc2c3,-3.670000,3.510000
