smiles,solubility,logp
Nc1ncnc2nc[nH]c12,-2.120000,-0.570000
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.850000,-1.370000
CCCCC(C)(O)CC,-1.600000,2.470000
CCCOC=O,-0.490000,0.750000
CCO,1.100000,-0.160000
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.358000,-4.700000
Cc1c2ccccc2cc3ccccc13,-5.890000,4.470000
c1ccc2c(c1)sc3ccccc23,-4.380000,3.940000
CCCCCCCCO,-2.390000,2.580000
CC(=O)N,1.580000,-1.030000
Oc1ccc(Cl)c(Cl)c1,-1.250000,2.880000
Oc1c(I)cc(C#N)cc1I,-3.610000,3.380000
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369000,1.550000
CCN2c1ncccc1N(C)C(=S)c3cccnc23,-4.634000,2.620000
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.638000,1.200000
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127000,1.270000
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-3.460000,2.920000
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.810000,4.140000
CCOP(=O)(OCC)OCC,0.430000,1.180000
C1CCC=CC1,-2.590000,2.310000
Clc1ccc(cc1Cl)c2ccccc2,-6.390000,4.830000
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676000,2.740000
CCCCI,-2.960000,2.780000
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322000,1.410000
Clc1ccc(Cl)cc1,-3.270000,3.180000
CC1CCCO1,0.110000,0.950000
CCCCCc1ccccc1,-4.640000,4.260000
CC2(C)C1CCC(C)(C1)C2=O,-1.850000,3.060000
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,-3.730000,3.830000
CCNc1nc(Cl)nc(NC(C)C)n1,-3.850000,2.200000
CCCO,0.620000,0.360000
