smiles,solubility,logp
c1ccccc1c2cc(Cl)ccc2,-4.880000,4.400000
O=N(=O)c(c(ccc1)C)c1,-2.330000,2.360000
CC(O)CCC(C)C,-1.380000,2.170000
c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,-5.960000,6.120000
Cc1cccc(C)n1,0.450000,1.900000
C=CC#N,0.150000,0.210000
C1=CC(=O)N2CC(C3)CNCC3C2=C1,0.360000,0.600000
OC(CCCCCC)C,-2.090000,2.730000
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.520000,2.000000
COc1ccc2COC(=O)c2c1OC,-1.890000,0.360000
c1cc(N)ccc1S(=O)(=O)Nc2nccs2,-2.430000,0.720000
OCC(O)C(O)C(O)C(O)CO,1.090000,-3.010000
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.290000,0.240000
c1ccccc1CCO,-0.740000,1.570000
CCCCCCCC=C,-5.050000,4.620000
Cc1cc2cc3ccccc3cc2cc1,-6.960000,4.890000
O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C(C)(C)C)C4(C)CC(O)C3C2(C)C=C1,-4.580000,3.500000
c1ccccc1Cc2ccccc2,-4.170000,4.020000
O=C(NC(=O)c1cccc2)c12,-2.610000,1.300000
N(c(c(S1)cc(c2)C)c2)=C1c(ccc(N)c3)c3,-3.680000,3.560000
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.600000,1.700000
c1ccc2c(c1)cnc3ccccc23,-2.780000,3.320000
OCCC(C)C,-0.520000,1.260000
CCCCS,-2.180000,2.250000
CCCCCCOC(=O)c1ccc(N)cc1,-3.950000,3.760000
C1C(CCC)CCC1,-4.740000,4.080000
CCCCCCO,-1.240000,1.820000
s1cccc1,-1.450000,1.810000
O=C(OC)c(c(ccc1)C(=O)OC)c1,-1.660000,1.660000
O=C(O)CCc(cccc1)c1,-1.410000,2.290000
CC(=O)C(CCC)C(=O)C,-0.880000,1.450000
C1=C(C)C(=O)NC(=O)N1,-1.520000,-0.320000
ClC(Cl)(Cl)C,-2.000000,2.680000
OC(c1ccccc1)C,-0.920000,1.490000
C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-3.770000,1.940000
O=C(C(C(C1C2)(C)C)(C2)C)C1,-1.990000,2.340000
O=C(O)c(ccc(O)c1)c1,-1.410000,1.390000
ClCCS(=O)CCCl,-1.160000,0.270000
CC(O)C(C)CC,-0.720000,1.680000
BrCCBr,-1.680000,2.010000
c1cc(Cl)cc(Cl)c1c2c(Cl)cc(Cl)cc2,-6.510000,6.340000
[nH](c(c(c1cccc2)ccc3)c3)c12,-4.970000,3.230000
c1ccc2c3ccccc3c4ccccc4c2c1,-6.740000,5.520000
CCCC(=O)O,-0.190000,1.070000
O=C(O)CCCC(=O)O,1.000000,-0.260000
