smiles,solubility,logp
Oc(ccc(c(cccc1)c1)c2)c2,-3.480000,3.280000
Oc1cc(O)c2C(=O)CC(c3cc(O)c(O)cc3)Oc2c1,-3.620000,2.130000
Clc1cc(N(=O)(=O))ccc1NC(=O)c2cc(Cl)ccc2O,-4.700000,4.560000
c1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)cc2Cl,-8.300000,8.270000
c1cc(N)ccc1S(=O)(=O)Nc2cnccn2,-3.700000,-0.340000
COc2ccc1cc(ccc1c2)C(C)C(O)=O,-4.160000,3.100000
O=C(NC(=O)C1)C1,0.300000,-0.850000
c1cccc(C)c1C,-2.800000,3.090000
O=C(OCC1)C1,1.070000,-0.310000
c1ccccc1C(=O)NC(=O)c2ccccc2,-2.270000,1.260000
OCCCc(cccc1)c1,-1.380000,2.060000
c1c(Cl)nc2cncnc2n1,-0.870000,-0.290000
O=C(OC)CCC,-0.820000,1.360000
N(=Nc(cccc1)c1)c(cccc2)c2,-4.450000,4.110000
O=C(O)C(OC=C1)=C1,-0.480000,1.000000
C1C(OC(=O)C)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-4.460000,3.990000
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-11.620000,10.200000
c1ccccc1c2c(Cl)cc(Cl)cc2Cl,-6.140000,5.690000
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.790000,3.990000
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.640000,0.730000
O=C(N)C(=C(O)C(N(C)C)C(C1(O)C(O)=C(C2C(O)(c(c3c(O)cc4)c4Cl)C)C3=O)C2)C1=O,-2.880000,-0.680000
OC(C(CCC1C)C(C)C)C1,-2.530000,3.380000
C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl,-5.180000,4.630000
N#Cc(c(C#N)ccc1)c1,-2.380000,1.090000
c1cc(C)ccc1S(=O)(=O)NC(=O)NC2CCCCC2,-4.210000,3.200000
Cc1cc(C)c(NC(=O)C)cc1NS(=O)(=O)C(F)(F)F,-3.240000,2.720000
c(c(ccc1)ccc2)(c1c(c(c(cc3)ccc4)c45)c3)c25,-8.800000,6.110000
n(c(c(ccc1)cc2cccc3)c1)c23,-3.670000,3.320000
c1c(Cl)cc(Cl)c(Cl)c1Cl,-4.630000,4.570000
CC(C)CC=C,-3.240000,3.080000
CCCNCCC,-0.460000,1.790000
s(c(c(c1cccc2)ccc3)c3)c12,-4.380000,4.170000
c1ccc2c(O)cc(C)nc2c1,-1.200000,2.210000
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.680000,5.310000
n(c(nc(n1)N(CC)CC)NCC)c1Cl,-4.060000,3.440000
CN(C)CCCN2c1ccccc1CCc3ccccc23,-4.190000,5.010000
CCSC(=O)N(CC)C1CCCCC1,-3.400000,3.810000
O=C(O)C(N)Cc(cccc1)c1,-1.230000,-1.280000
C=CCCC=C,-2.680000,3.020000
c1c(Cl)c(Cl)cc(O)c1OC,-2.530000,2.630000
Oc(ccc(N)c1)c1,-0.800000,0.240000
O=C(Nc(ccc(c1)C=O)c1)C,-1.580000,0.820000
c1ccccc1c2ccccc2,-4.310000,3.760000
O=C(C=C)CCC,-0.830000,1.390000
O=C(O)C(C)C,0.280000,1.000000
C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1,-4.630000,3.710000
C=CCCl,-1.360000,1.930000
O=C(O)C(C(C(=O)O)C(O1)CC2)C12,-0.270000,1.890000
C1CNCCN1c2ncc3C(=O)C(C(=O)O)=CN(CC)c3n2,-2.980000,-1.740000
O=C(O)COc(c(cc(c1)Cl)C)c1,-2.230000,2.520000
C1C(C)C(C)CCC1,-4.330000,4.010000
c1c(OC)cc2c(CC(=O)O)c(C)n(C(=O)C=Cc3ccccc3)c2c1,-5.540000,3.780000
c1cc2cc3cc(CC)ccc3cc2cc1,-6.890000,5.380000
c1ccccc1C=C,-2.820000,2.890000
c1cnc2cnc(C)nc2n1,-0.470000,-0.390000
c1ccc2Sc3ccccc3N(CC4CN(C)CCC4)c2c1,-4.740000,5.360000
Clc1c(Cl)cc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-7.420000,7.620000
c1ccc(Cl)c(Cl)c1c2c(Cl)c(Cl)ccc2,-7.280000,6.340000
C1=CC(=O)C=C2CCC3C4CC(C)C(OC(=O)CCCC)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-4.710000,3.940000
O=C(O)CCl,0.930000,0.340000
c1c(Cl)c(Cl)c2nsnc2c1Cl,-4.980000,3.280000
O=C(Nc(cccc1C)c1)C,-2.090000,1.650000
Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cccc2,-7.430000,6.980000
c1cc(N)ccc1S(=O)(=O)N(C(=O)C)c2onc(C)c2C,-3.590000,0.330000
COP(=S)(OC)SCN2C(=O)c1ccccc1C2=O,-4.100000,2.480000
c1cc(Cl)ccc1c2ccc(Cl)cc2,-6.560000,5.050000
O=C1C=Cc2cc3ccoc3c(OC)c2O1,-3.660000,2.140000
n(cccc1O)c1,-0.460000,0.320000
CC(C)(C)C(O)CC,-1.150000,2.130000
O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,-3.520000,2.910000
O=C(OCCN(CC)CC)c(ccc(N)c1)c1,-1.400000,1.990000
