SMILES,MTP
[nH0]1cc2ccccc2cc1Cc1ccccc1,63.500000
Brc1cccc2c1c(Br)ccc2C(Br)=Cc1ccccc1,170.500000
OCc1ccc(OC)c(OCc2ccccc2)c1,84.500000
O=C(Oc1ccc(cc1)C=CC(=O)c1ccccc1)c1ccccc1OC,114.500000
O=[N+]([O-])c1cc([N+](=O)[O-])cc(c1)C(=O)NCCc1[nH0]cccc1,120.000000
O=C(N1CCCC1)C(c1ccccc1)(c1ccccc1)C(C)CN1CCOCC1,180.000000
Brc1ccc(cc1)C(=O)c1[nH0]oc(c2ccc(OC)cc2)c1[S+2]([O-])([O-])c1ccccc1,141.000000
O=Cc1cc2cc3CCCCc3[nH0]c2cc1N,218.000000
O=C(OC1=C2C=C3C(=NC(=C3OC(=O)C)C(=O)OCC)C=C2N=C1C(=O)OCC)C,178.000000
[O-][N+](=Nc1ccc(N)cc1)c1ccc(N=Nc2ccc(N)cc2)cc1,246.500000
OC1OC(Cc2ccccc21)c1ccc(OC)cc1,114.200000
CC1c2ccccc2C=C1c1ccccc1,58.000000
Clc1ccccc1C([nH0]1c[nH0]cc1)(c1ccccc1)c1ccccc1,147.000000
O=C(NCc1ccccc1C)c1ccccc1,117.500000
OC1CCC2C3CCC4(C)CC(O)(CCC4(C)C3CCC21C)CC,168.500000
Clc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])C(C#N)C(=O)OCC,108.500000
[O-][N+](=Nc1ccc(N=Nc2ccccc2)cc1)c1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)c(C)c1,193.000000
O=C1OCC23CCCC1(C)C3CC(OC)C13C(=O)C(C)C(CC(OC(=O)C)C21)C3O,105.200000
Brc1ccc(cc1)c1oc(cc1)C=C1C(=O)NC(=O)NC1=O,255.000000
S(c1ccccc1)c1ccc(N=C(NC(=O)OC)NC(=O)OC)c(NC(=O)COC)c1,129.000000
[S+2]([O-])([O-])(O)c1cc2oc([nH0]c2c2cccc(NC(=O)c3ccccc3)c12)c1ccccc1,276.000000
FC(F)(F)C=1N=C2C=CC=CC2=NC(=O)C=1NNc1c[nH0]ccc1,156.500000
S1c2[nH0][nH0]c([nH0]2NC1c1ccc(N(C)C)cc1)c1ccc(OCC)cc1,137.000000
O=C1N(CCCCCCCC)C(=O)c2cc3c(OC)c4cc5c(cc4c(OC)c3cc21)C(=O)N(CCCCCCCC)C5=O,238.000000
O=C1NC(=O)C(C=C)(C(=O)N1)C(C)CCC,90.000000
c1ccc2c(c1)c1ccccc21,114.500000
S1c2[nH0][nH0]c([nH0]2NC1c1ccc(O)c(OC)c1)c1ccccc1OC,137.000000
O=[N+]([O-])c1ccccc1C=C([N+](=O)[O-])c1ccccc1,107.000000
FC(F)(F)C1=NNC(=O)C1=NNc1ccccc1C(=O)O,274.000000
O=C1OCCOC(=O)C2CCCCC2C(=O)OCCOC(=O)C2CCCCC12,140.000000
O=C(C=CN(O)c1ccccc1)c1ccc2CCCCc2c1,148.000000
Clc1ccc(cc1)C=C(C#N)c1scc([nH0]1)c1cccc2ccccc21,131.000000
Fc1ccc(N2C(=O)C3N(N=C(C(=O)c4ccccc4)C3C2=O)c2ccccc2)cc1,212.000000
O=C1NC(C)=C(C(=O)OC(C)C)C(N1)c1occc1,204.800000
BrC1=C(OC)C2CCC(C)(C1=O)C2(C)C,104.000000
O=C1C(=CC(=O)NC(=O)N)C2CCC1(C)C2(C)C,206.000000
[S+2]([O-])([O-])(c1cccc([N+](=O)[O-])c1)c1ccc2ccccc2c1,77.500000
[N+]=1=NC(C)=C(c2ccccc2)C=1C,133.500000
O=[N+]([O-])c1cccc2cccc(C=O)c12,125.000000
Clc1[nH0]c(c[nH0]c1C(C)(C)C)C(=O)Nc1ccccc1C,114.500000
O=C1C=2C(=NC=C1C(=O)O)N(NC=2N)C,224.000000
O=C1CCC2(C)C(CCC3C4CCC(O)(C#C)C4(C)CCC32)C1,220.500000
CC=1Cc2ccccc2C=1c1ccccc1,58.200001
FC(F)(F)C1=NN(c2ccccc2)C(=O)C1C(O)c1ccc(C)cc1,257.000000
O=[N+]([O-])c1cccc2c(cccc12)C=Nc1ccccc1,83.500000
OC(CCC)C(O)(CC)C1CCCCC1,77.500000
O=C(OCC)C(C#N)=Cc1ccc(O)cc1,171.500000
O=[N+]([O-])c1ccccc1NC(=O)c1ccccc1,96.000000
O=C(OC)C=1Cc2cc3CCc3cc2CC=1C(=O)OC,133.000000
[S+2]([O-])([O-])(OCC(O[S+2]([O-])([O-])c1ccc(C)cc1)C1OC(=O)C(OC)=C1OC)c1ccc(C)cc1,145.500000
O=C1Nc2ccccc2C1(c1oc(C)cc1)c1oc(C)cc1,215.500000
S1c2[nH0][nH0]c([nH0]2N=C1c1ccc([N+](=O)[O-])cc1)C(F)(F)F,213.000000
O=C(Oc1ccc2cc(OC(=O)C)ccc2c1)C,215.000000
