SMILES,MTP
O=C(OC)C=CC(=O)OC,102.000000
S1c2[nH0][nH0]c([nH0]2NC1c1ccccc1)c1ccccc1OC,207.500000
O=[N+]([O-])c1ccc(cc1)CC(C#N)c1ccccc1,134.000000
O=C1c2cccc(C)c2C1=O,121.000000
O=C(N)NN=C(Cc1ccccc1)CC(C)C,89.000000
O=C(OCC)Nc1cc(NC(=O)OCC)c(cc1CC(=O)OCC)CC(=O)OCC,140.000000
O=[N+]([O-])c1ccc[nH0]c1NN,164.500000
Clc1ccc(NC(=O)C)c([N+](=O)[O-])c1,98.000000
O(C)c1ccc2ccccc2c1C,126.000000
O=[N+]([O-])c1cc(C#N)ccc1C=Cc1ccc(cc1)C=Cc1ccc(C#N)cc1[N+](=O)[O-],350.000000
[S+2]([O-])([O-])(Nc1ccccc1)c1cc([N+](=O)[O-])cc(c1)C(=O)Nc1ccccc1,188.000000
O=C(OC1CCC2C3CCC4=CC(O)CCC4(C)C3CCC21C)C,95.500000
O=C1Nc2cc(ccc2C1)CC(=O)O,238.000000
O=C(C=Cc1cccc(N)c1)c1ccccc1,159.000000
OC1C=C2CCC3C4CCC(O)(C#C)C4(C)CCC3C2(C)CC1,204.000000
O=C(OC1CC(C)CCC1C(C)C)C(=Cc1ccccc1)Cc1ccccc1,64.500000
O=C(O)C(C)c1ccc(C)cc1,41.000000
O=C(CC(C#N)(c1ccccc1)C(=O)C)c1ccccc1,94.000000
O=[N+]([O-])c1cc(NC(=O)C)c(cc1C=Cc1ccccc1)C=Cc1ccccc1,227.000000
O=C1NC(=O)C(=Cc2cccc(c2)C=C2C(=O)NC(=O)NC2=O)C(=O)N1,340.000000
O=C1c2cccc(OC)c2C1=O,119.000000
O=C(OC(c1ccccc1)C(=O)c1ccc2CCc3cccc1c32)c1ccccc1,156.000000
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NC=1C(=O)N(N(C)C=1C)c1ccccc1,177.000000
O=[N+]([O-])c1cc(NC(=O)C)c(C=Cc2ccccc2)c([N+](=O)[O-])c1C=Cc1ccccc1,171.000000
O=C1C=C(NCCC(OC)OC)C(=O)c2ccccc12,114.000000
O=C(OCCc1ccc(cc1)CCOC(=O)Nc1ccccc1)Nc1ccccc1,212.500000
O=C1C=2CNN(C)C=2N=CC1=C(O)OCC,139.000000
ClCc1c(C)c(C)c(CCl)c(C)c1C,193.500000
O=C1Cc2ccc(OC)cc21,54.500000
O=C1C(=C)C2CC(OC(=O)C)C3C45COCC(C)(CCC4)C5CC(OC)C13C2O,183.300000
CC(C)CC1c2ccccc2c2ccccc21,45.000000
Oc1[nH0]c([nH0][nH0]1c1ccccc1)C1CCCCC1,196.500000
FC(F)(F)C1=NNC(=O)C1=NNc1cccc([N+](=O)[O-])c1,254.000000
Clc1ccc(Nc2[nH0]c(N)[nH0][nH0]c2c2ccccc2)cc1,297.000000
[S+2]([O-])([O-])(NN=Cc1[nH0]c(oc1)C=Cc1ccccc1)c1ccc(C)cc1,178.000000
