smiles,logp,solubility
ClCC(Cl)(Cl)Cl,2.41,-2.18
CC(Cl)(Cl)Cl,2.08,-2
ClC(Cl)C(Cl)Cl,2.84,-1.74
ClCC(Cl)Cl,2.17,-1.48
FC(F)(Cl)C(F)(Cl)Cl,2.7,-3.04
CC(Cl)Cl,1.52,-1.29
ClC(=C)Cl,1.86,-1.64
CCOC(C)OCC,1.13,-0.43
Clc1ccc(Cl)c(Cl)c1Cl,4.39,-4.57
C1CCc2ccccc2C1,3.43,-4.37
Clc1cc(Cl)c(Cl)c(Cl)c1,4.39,-4.63
Clc1cccc(Cl)c1Cl,3.79,-4
Cc1cccc(C)c1C,3.51,-3.2
Brc1cc(Br)c(Br)cc1Br,5.05,-6.98
Clc1cc(Cl)c(Cl)cc1Cl,4.39,-5.56
Cc1cc(C)c(C)cc1C,4.03,-4.59
c1(Br)c(Br)cc(Br)cc1,4.28,-4.5
Clc1ccc(Cl)c(Cl)c1,3.79,-3.59
Cc1ccc(C)c(C)c1,3.51,-3.31
Oc1ccccc1O,1.37,0.62
Brc1ccccc1Br,3.51,-3.5
BrCCBr,1.87,-1.68
Clc1ccccc1Cl,3.18,-3.05
ClCCCl,1.5,-1.06
CC(Cl)CCl,1.92,-1.6
FC(F)(Cl)C(F)(F)Cl,2.5,-2.74
CCOCCOCC,0.79,-0.77
CCc1ccccc1CC,3.89,-3.28
O=N(=O)c1ccccc1N(=O)=O,1.85,-3.1
CC1CO1,0.37,-0.59
Brc1cc(Br)cc(Br)c1,4.28,-5.6
Clc1cc(Cl)cc(Cl)c1,3.79,-4.48
Cc1cc(C)cc(C)c1,3.51,-3.4
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1.79,-2.89
Oc1cccc(O)c1,1.37,0.81
C=CC=C,1.63,-1.87
Brc1cccc(Br)c1,3.51,-3.54
Clc1cccc(Cl)c1,3.18,-3.04
ClCCCCl,1.56,-1.62
CCNC(=S)NCC,0.69,-1.46
Fc1cccc(F)c1,2.26,-2
Cc1cc(C)c2ccccc2c1,3.99,-4.29
O=N(=O)c1cccc(c1)N(=O)=O,1.85,-2.29
Oc1ccc(O)cc1,1.37,-0.17
C1C=CCC=C1,1.94,-2.06
Brc1ccc(Br)cc1,3.51,-4.07
Clc1ccc(Cl)cc1,3.18,-3.27
CCc1ccc(CC)cc1,3.89,-3.75
Fc1ccc(F)cc1,2.26,-1.97
Cc1ccc(C)c2ccccc12,3.99,-4.14
O=N(=O)c1ccc(cc1)N(=O)=O,1.85,-3.39
C=CCC=C,2.08,-2.09
Cc1cccc2c(C)cccc12,3.99,-4.679
C=CCCC=C,2.52,-2.68
c1cnc2c(c1)ccc3ncccc23,2.29,-2.68
CC12CCC(CC1)C(C)(C)O2,2.35,-1.74
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.65,-3.999
Nc2cccc3nc1ccccc1cc23,2.68,-4.22
CC(C)CBr,2.27,-2.43
CCCCBr,2.35,-2.37
CCCCCCCBr,3.68,-4.43
CCCCCCBr,3.23,-3.81
Brc1cccc2ccccc12,3.73,-4.35
CCCCCCCCBr,4.12,-5.06
CCCCCBr,2.79,-3.08
CCCBr,1.9,-1.73
CCCCO,0.81,0
CCC=C,1.94,-1.94
CCC#C,1.43,-1.24
ClCCBr,1.69,-1.32
ClCC(C)C,2.08,-2
CCCCCl,2.16,-2.03
CCCCCCCCl,3.49,-4
CCCCCCCl,3.05,-3.12
Clc1cccc2ccccc12,3.57,-3.93
CCCCCCl,2.6,-2.73
CCCCl,1.72,-1.47
CCCCCCCCCCO,3.47,-3.63
CCCCCCCCC=C,4.61,-5.51
CCCCCCCCCCCCO,4.36,-4.8
CCc1cccc2ccccc12,3.92,-4.17
CCCCCCCO,2.14,-1.81
CCCCCC=C,3.27,-3.73
CCCCCC#C,2.77,-3.01
CCCCCCCCCCCCCCCCO,6.14,-7
CCCCCCO,1.69,-1.24
CCCCC=C,2.83,-3.23
CCCC(O)C=C,1.6,-0.59
CCCCC#C,2.32,-2.36
CCCCI,2.78,-2.96
CCCCCCCI,4.11,-4.81
Ic1cccc2ccccc12,3.89,-4.55
CCCI,2.33,-2.29
CC1=CCCCC1,2.55,-3.27
Cc1cccc2c1Cc3ccccc32,4.25,-5.22
Cc1cccc2ccccc12,3.48,-3.7
Cc1cccc2c1ccc3ccccc32,4.47,-5.85
Cn1ccc(=O)[nH]c1=O,-0.63,-0.807
Oc1cccc2ccccc12,2.66,-2.22
Nc1cccc2ccccc12,2.13,-1.92
O=N(=O)c1cccc2ccccc12,2.9,-3.54
CCCN(=O)=O,0.9,-0.8
CCCCCCCCCO,3.03,-3.01
CCCCCCCC=C,4.16,-5.05
CCCCCCCC#C,3.66,-4.24
CCCCCCCCCCCCCCCCCCO,7.03,-8.4
CCCCCCCCO,2.58,-2.39
CCCCCCC=C,3.72,-4.44
CCCCCCC#C,3.21,-3.66
CCCCCCCCCCCCCCCO,5.7,-6.35
CCCCCO,1.25,-0.6
CCCC=C,2.38,-2.68
CCCC#C,1.88,-1.64
CC(O)c1ccccc1,1.62,-0.92
CCCO,0.36,0.62
CCCCCCCCCCCCCCO,5.25,-5.84
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,9.66,-11.6
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,8.45,-9.16
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,7.24,-8.01
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,8.45,-9.15
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,7.24,-8.6
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,6.04,-7.28
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,7.85,-7.92
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,7.85,-8.94
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,7.24,-7.68
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,6.64,-7.21
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,6.64,-7.43
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl,7.24,-7.42
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl,6.04,-6.47
CC(C)C(C)(C)C,3.12,-4.36
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl,7.24,-8.56
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,7.24,-8.71
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,6.04,-6.57
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,6.64,-7.32
CC(C)CC(C)(C)C,3.56,-4.74
CC(C)CCC(C)(C)C,4.01,-5.05
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,6.04,-7.39
CCC(C)(C)CO,1.55,-1.04
CCC(C)(C)C,2.83,-3.55
CCCC(C)(C)C,3.27,-4.36
CCCC(C)(C)CO,1.99,-1.52
CC(C)(C)CO,1.1,-0.4
Clc1ccccc1c2ccccc2Cl,4.83,-5.27
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,7.24,-7.82
