smiles,solubility,logp
c1ccccc1c2cc(Cl)ccc2,-4.88,4.4
O=N(=O)c(c(ccc1)C)c1,-2.33,2.36
CC(O)CCC(C)C,-1.38,2.17
c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,-5.96,6.12
Cc1cccc(C)n1,0.45,1.9
C=CC#N,0.15,0.21
C1=CC(=O)N2CC(C3)CNCC3C2=C1,0.36,0.6
OC(CCCCCC)C,-2.09,2.73
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,2
COc1ccc2COC(=O)c2c1OC,-1.89,0.36
c1cc(N)ccc1S(=O)(=O)Nc2nccs2,-2.43,0.72
OCC(O)C(O)C(O)C(O)CO,1.09,-3.01
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.29,0.24
c1ccccc1CCO,-0.74,1.57
CCCCCCCC=C,-5.05,4.62
Cc1cc2cc3ccccc3cc2cc1,-6.96,4.89
O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C(C)(C)C)C4(C)CC(O)C3C2(C)C=C1,-4.58,3.5
c1ccccc1Cc2ccccc2,-4.17,4.02
O=C(NC(=O)c1cccc2)c12,-2.61,1.3
N(c(c(S1)cc(c2)C)c2)=C1c(ccc(N)c3)c3,-3.68,3.56
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.6,1.7
c1ccc2c(c1)cnc3ccccc23,-2.78,3.32
OCCC(C)C,-0.52,1.26
CCCCS,-2.18,2.25
CCCCCCOC(=O)c1ccc(N)cc1,-3.95,3.76
C1C(CCC)CCC1,-4.74,4.08
CCCCCCO,-1.24,1.82
s1cccc1,-1.45,1.81
O=C(OC)c(c(ccc1)C(=O)OC)c1,-1.66,1.66
O=C(O)CCc(cccc1)c1,-1.41,2.29
CC(=O)C(CCC)C(=O)C,-0.88,1.45
C1=C(C)C(=O)NC(=O)N1,-1.52,-0.32
ClC(Cl)(Cl)C,-2,2.68
OC(c1ccccc1)C,-0.92,1.49
C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-3.77,1.94
O=C(C(C(C1C2)(C)C)(C2)C)C1,-1.99,2.34
O=C(O)c(ccc(O)c1)c1,-1.41,1.39
ClCCS(=O)CCCl,-1.16,0.27
CC(O)C(C)CC,-0.72,1.68
BrCCBr,-1.68,2.01
c1cc(Cl)cc(Cl)c1c2c(Cl)cc(Cl)cc2,-6.51,6.34
[nH](c(c(c1cccc2)ccc3)c3)c12,-4.97,3.23
c1ccc2c3ccccc3c4ccccc4c2c1,-6.74,5.52
CCCC(=O)O,-0.19,1.07
O=C(O)CCCC(=O)O,1,-0.26
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-6.51,5.87
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4,3.42
CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O,-3.12,-1.33
c1cc(C)c(C)cn1,0.36,1.9
CN(C)C(=O)NC1CCCCCCC1,-2.36,2.84
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,5.55
c1cccc(Cl)c1Cl,-3.05,3.28
OC(=O)COc1ccccc1Cl,-2.16,1.97
c1cnc2cnc(OC)nc2n1,-1.11,0.04
O=C(OCCCC)c(cccc1)c1,-3.48,3.3
CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C,-4.57,2.99
CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34,-3.11,1.81
c1ccc2c(C)cccc2c1C,-4.74,4.26
O=CC=CC,0.32,0.6
O=C(OC)CCCCCCCCC,-4.63,4.3
OC(c(cccc1)c1)c(cccc2)c2,-2.55,2.71
c1ccccc1C(=C)C(=O)O,-2.06,2.21
